metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1694927825,1.000000,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
http_req_duration,1694927825,41.670000,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
http_req_blocked,1694927825,1.518600,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
http_req_connecting,1694927825,0.972200,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
http_req_tls_handshaking,1694927825,0.000000,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
http_req_sending,1694927825,0.000000,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
http_req_waiting,1694927825,32.537400,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
http_req_receiving,1694927825,9.132600,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
http_req_failed,1694927825,0.000000,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
checks,1694927825,1.000000,is status 200,,,,,,,,default,,,,,,,
checks,1694927825,1.000000,is successfully logged in,,,,,,,,default,,,,,,,
http_reqs,1694927825,1.000000,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
http_req_duration,1694927825,12.362100,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
http_req_blocked,1694927825,1.479300,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
http_req_connecting,1694927825,1.479300,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
http_req_tls_handshaking,1694927825,0.000000,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
http_req_sending,1694927825,0.000000,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
http_req_waiting,1694927825,10.864100,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
http_req_receiving,1694927825,1.498000,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
http_req_failed,1694927825,0.000000,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
checks,1694927825,1.000000,is status 200,,,,,,,,default,,,,,,,
checks,1694927825,1.000000,is successfully logged in,,,,,,,,default,,,,,,,
http_reqs,1694927825,1.000000,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
http_req_duration,1694927825,8.016000,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
http_req_blocked,1694927825,0.514700,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
http_req_connecting,1694927825,0.514700,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
http_req_tls_handshaking,1694927825,0.000000,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
http_req_sending,1694927825,0.000000,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
http_req_waiting,1694927825,8.016000,,,,true,,POST,http://localhost:3000/user/auth/login,HTTP/1.1,default,,200,,,http://localhost:3000/user/auth/login,,
